Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	json	split
Unlike the regulatory mechanism of FimA by FimR, this regulation of the mfa1 gene is accomplished by FimR directly binding to the promoter region of mfa1.	FimA,35,39,Protein	FimR,43,47,Protein	mfa1,72,76,Protein	FimR,101,105,Protein	mfa1,149,153,Protein	"[{""token"": ""FimA"", ""start_span"": 35, ""end_span"": 39, ""type"": ""Protein""}, {""token"": ""FimR"", ""start_span"": 43, ""end_span"": 47, ""type"": ""Protein""}, {""token"": ""mfa1"", ""start_span"": 72, ""end_span"": 76, ""type"": ""Protein""}, {""token"": ""FimR"", ""start_span"": 101, ""end_span"": 105, ""type"": ""Protein""}, {""token"": ""mfa1"", ""start_span"": 149, ""end_span"": 153, ""type"": ""Protein""}]"	train
FimR, a response regulator of the fimS / fimR two - component system was identified, and FimA expression was found to be dramatically reduced in fimR mutants ( Hayashi et al., 2000).	FimR,0,4,Protein	fimS,34,38,Protein	fimR,41,45,Protein	FimA,89,93,Protein	fimR,145,149,Protein	"[{""token"": ""FimR"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Protein""}, {""token"": ""fimS"", ""start_span"": 34, ""end_span"": 38, ""type"": ""Protein""}, {""token"": ""fimR"", ""start_span"": 41, ""end_span"": 45, ""type"": ""Protein""}, {""token"": ""FimA"", ""start_span"": 89, ""end_span"": 93, ""type"": ""Protein""}, {""token"": ""fimR"", ""start_span"": 145, ""end_span"": 149, ""type"": ""Protein""}]"	train
Evidence is provided that unlike FimR - dependent fimA expression, FimR regulates mfa1 expression by directly binding to the promoter region of mfa1.	FimR,33,37,Protein	fimA,50,54,Protein	FimR,67,71,Protein	mfa1,82,86,Protein	mfa1,144,148,Protein	"[{""token"": ""FimR"", ""start_span"": 33, ""end_span"": 37, ""type"": ""Protein""}, {""token"": ""fimA"", ""start_span"": 50, ""end_span"": 54, ""type"": ""Protein""}, {""token"": ""FimR"", ""start_span"": 67, ""end_span"": 71, ""type"": ""Protein""}, {""token"": ""mfa1"", ""start_span"": 82, ""end_span"": 86, ""type"": ""Protein""}, {""token"": ""mfa1"", ""start_span"": 144, ""end_span"": 148, ""type"": ""Protein""}]"	train
Role of FimR in mfa1 expression The fimA gene is the only gene known to be tightly controlled by the FimS / FimR system.	FimR,8,12,Protein	mfa1,16,20,Protein	fimA,36,40,Protein	FimS,101,105,Protein	FimR,108,112,Protein	"[{""token"": ""FimR"", ""start_span"": 8, ""end_span"": 12, ""type"": ""Protein""}, {""token"": ""mfa1"", ""start_span"": 16, ""end_span"": 20, ""type"": ""Protein""}, {""token"": ""fimA"", ""start_span"": 36, ""end_span"": 40, ""type"": ""Protein""}, {""token"": ""FimS"", ""start_span"": 101, ""end_span"": 105, ""type"": ""Protein""}, {""token"": ""FimR"", ""start_span"": 108, ""end_span"": 112, ""type"": ""Protein""}]"	train
It was postulated that different mechanisms might be involved in FimR - mediated mfa1 expression, since expression regulation of mfa1 by FimR was not controlled as tightly as observed for fimA expression.	FimR,65,69,Protein	mfa1,81,85,Protein	mfa1,129,133,Protein	FimR,137,141,Protein	fimA,188,192,Protein	"[{""token"": ""FimR"", ""start_span"": 65, ""end_span"": 69, ""type"": ""Protein""}, {""token"": ""mfa1"", ""start_span"": 81, ""end_span"": 85, ""type"": ""Protein""}, {""token"": ""mfa1"", ""start_span"": 129, ""end_span"": 133, ""type"": ""Protein""}, {""token"": ""FimR"", ""start_span"": 137, ""end_span"": 141, ""type"": ""Protein""}, {""token"": ""fimA"", ""start_span"": 188, ""end_span"": 192, ""type"": ""Protein""}]"	train
A comparison of the transcriptional level of the mfa1 in P. gingivalis wild - type strain and in the fimR mutant indicates that the FimS / FimR system is a positive regulator for the mfa1 gene, although the system controls two fimbrial genes at different levels.	mfa1,49,53,Protein	fimR,101,105,Protein	FimS,132,136,Protein	FimR,139,143,Protein	mfa1,183,187,Protein	"[{""token"": ""mfa1"", ""start_span"": 49, ""end_span"": 53, ""type"": ""Protein""}, {""token"": ""fimR"", ""start_span"": 101, ""end_span"": 105, ""type"": ""Protein""}, {""token"": ""FimS"", ""start_span"": 132, ""end_span"": 136, ""type"": ""Protein""}, {""token"": ""FimR"", ""start_span"": 139, ""end_span"": 143, ""type"": ""Protein""}, {""token"": ""mfa1"", ""start_span"": 183, ""end_span"": 187, ""type"": ""Protein""}]"	train
As depicted in Figure S2, hybridization of SpeI - digested genomic DNA with a 32P labeled phoP probe resulted in two bands of different sizes, one corresponding to the SpeI fragment harboring the H37Ra phoP gene ( 50 kb), and the other to the larger SpeI fragment created by integration of the I36 cosmid into the genome of H37Ra at the attB site.	SpeI,43,47,Protein	phoP,90,94,Protein	SpeI,168,172,Protein	phoP,202,206,Protein	SpeI,250,254,Protein	"[{""token"": ""SpeI"", ""start_span"": 43, ""end_span"": 47, ""type"": ""Protein""}, {""token"": ""phoP"", ""start_span"": 90, ""end_span"": 94, ""type"": ""Protein""}, {""token"": ""SpeI"", ""start_span"": 168, ""end_span"": 172, ""type"": ""Protein""}, {""token"": ""phoP"", ""start_span"": 202, ""end_span"": 206, ""type"": ""Protein""}, {""token"": ""SpeI"", ""start_span"": 250, ""end_span"": 254, ""type"": ""Protein""}]"	train
As shown in Figure 3, splenocytes from mice that were inoculated with H37Rv produced high amounts of IFN - gamma upon stimulation with ESAT - 6 or CFP - 10, whereas the responses of H37Ra, H37Ra:: fadE5, and H37Ra:: rpsL infected mice were extremely weak.	IFN - gamma,101,112,Protein	ESAT - 6,135,143,Protein	CFP - 10,147,155,Protein	fadE5,197,202,Protein	rpsL,216,220,Protein	"[{""token"": ""IFN - gamma"", ""start_span"": 101, ""end_span"": 112, ""type"": ""Protein""}, {""token"": ""ESAT - 6"", ""start_span"": 135, ""end_span"": 143, ""type"": ""Protein""}, {""token"": ""CFP - 10"", ""start_span"": 147, ""end_span"": 155, ""type"": ""Protein""}, {""token"": ""fadE5"", ""start_span"": 197, ""end_span"": 202, ""type"": ""Protein""}, {""token"": ""rpsL"", ""start_span"": 216, ""end_span"": 220, ""type"": ""Protein""}]"	train
The observation that knocking - in the ESX - 1 region of H37Rv into H37Ra ( H37Ra:: RD1 - ppe68 - ko), and the resultant diploidy, did not improve the ESAT - 6 - specific T cell responses ( Figure 3B), further argues that PhoP - dependent ESAT - secretion might be regulated via a mechanism that lies outside the RD1 region.	ESX - 1,39,46,Protein	RD1,84,87,Protein	ppe68,90,95,Protein	ESAT - 6,151,159,Protein	PhoP,222,226,Protein	"[{""token"": ""ESX - 1"", ""start_span"": 39, ""end_span"": 46, ""type"": ""Protein""}, {""token"": ""RD1"", ""start_span"": 84, ""end_span"": 87, ""type"": ""Protein""}, {""token"": ""ppe68"", ""start_span"": 90, ""end_span"": 95, ""type"": ""Protein""}, {""token"": ""ESAT - 6"", ""start_span"": 151, ""end_span"": 159, ""type"": ""Protein""}, {""token"": ""PhoP"", ""start_span"": 222, ""end_span"": 226, ""type"": ""Protein""}]"	train
As closer inspection of the available literature on transcriptional analyses of a H37Rv - phoP ko strain [ 21] and H37Ra [ 12] suggested that the expression of gene cluster rv3612c - rv3616c is reduced in both strains, we evaluated the expression level of rv3614c in H37Rv, H37Ra, and H37Ra:: phoP by quantitative real time PCR ( qRT - PCR).	phoP,90,94,Protein	rv3612c,173,180,Protein	rv3616c,183,190,Protein	rv3614c,256,263,Protein	phoP,293,297,Protein	"[{""token"": ""phoP"", ""start_span"": 90, ""end_span"": 94, ""type"": ""Protein""}, {""token"": ""rv3612c"", ""start_span"": 173, ""end_span"": 180, ""type"": ""Protein""}, {""token"": ""rv3616c"", ""start_span"": 183, ""end_span"": 190, ""type"": ""Protein""}, {""token"": ""rv3614c"", ""start_span"": 256, ""end_span"": 263, ""type"": ""Protein""}, {""token"": ""phoP"", ""start_span"": 293, ""end_span"": 297, ""type"": ""Protein""}]"	train
In previous studies rv3614c, rv3615c, rv3616c ( espA) were independently shown to be essential for proper ESAT - 6 secretion [ 27, 28].	rv3614c,20,27,Protein	rv3615c,29,36,Protein	rv3616c,38,45,Protein	espA,48,52,Protein	ESAT - 6,106,114,Protein	"[{""token"": ""rv3614c"", ""start_span"": 20, ""end_span"": 27, ""type"": ""Protein""}, {""token"": ""rv3615c"", ""start_span"": 29, ""end_span"": 36, ""type"": ""Protein""}, {""token"": ""rv3616c"", ""start_span"": 38, ""end_span"": 45, ""type"": ""Protein""}, {""token"": ""espA"", ""start_span"": 48, ""end_span"": 52, ""type"": ""Protein""}, {""token"": ""ESAT - 6"", ""start_span"": 106, ""end_span"": 114, ""type"": ""Protein""}]"	train
Among the genes expressed at low level in the phoP - ko strain and in H37Ra were several that are involved in lipid metabolism; for example, the polyketide synthases pks2 ( rv3825c) or the Pks - associated protein papA1 ( rv3824c).	phoP,46,50,Protein	pks2,166,170,Protein	rv3825c,173,180,Protein	papA1,214,219,Protein	rv3824c,222,229,Protein	"[{""token"": ""phoP"", ""start_span"": 46, ""end_span"": 50, ""type"": ""Protein""}, {""token"": ""pks2"", ""start_span"": 166, ""end_span"": 170, ""type"": ""Protein""}, {""token"": ""rv3825c"", ""start_span"": 173, ""end_span"": 180, ""type"": ""Protein""}, {""token"": ""papA1"", ""start_span"": 214, ""end_span"": 219, ""type"": ""Protein""}, {""token"": ""rv3824c"", ""start_span"": 222, ""end_span"": 229, ""type"": ""Protein""}]"	train
Y. enterocolitica possesses a typical quorum sensing pair of homologues, YenI / YenR ( YE1600 / YE1599), and it has recently been shown that swimming and swarming motility is regulated by 3 - oxo - C6 - AHL and C6 - AHL, which are synthesized by YenI [ 34].	YenI,73,77,Protein	YenR,80,84,Protein	YE1600,87,93,Protein	YE1599,96,102,Protein	YenI,246,250,Protein	"[{""token"": ""YenI"", ""start_span"": 73, ""end_span"": 77, ""type"": ""Protein""}, {""token"": ""YenR"", ""start_span"": 80, ""end_span"": 84, ""type"": ""Protein""}, {""token"": ""YE1600"", ""start_span"": 87, ""end_span"": 93, ""type"": ""Protein""}, {""token"": ""YE1599"", ""start_span"": 96, ""end_span"": 102, ""type"": ""Protein""}, {""token"": ""YenI"", ""start_span"": 246, ""end_span"": 250, ""type"": ""Protein""}]"	train
Other examples of toxins common for both bacterial species compared here are homologues of XaxAB, an apoptotic AB toxin of X. nematophila [ 68], and proteins encoded by the macrophage toxin ( mt) - like genes Plu2288 and Plu0359 with high similarity to YE2685. cnf encoding the cytonecrosis factor - like toxin is present in Y. enterocolitica ( YE2091) and P. luminescens ssp. akhurstii strain W14, but not in P. luminescens ssp. laumondii strain TT01 ( Fig. 4).	XaxAB,91,96,Protein	Plu2288,209,216,Protein	Plu0359,221,228,Protein	YE2685,253,259,Protein	YE2091,345,351,Protein	"[{""token"": ""XaxAB"", ""start_span"": 91, ""end_span"": 96, ""type"": ""Protein""}, {""token"": ""Plu2288"", ""start_span"": 209, ""end_span"": 216, ""type"": ""Protein""}, {""token"": ""Plu0359"", ""start_span"": 221, ""end_span"": 228, ""type"": ""Protein""}, {""token"": ""YE2685"", ""start_span"": 253, ""end_span"": 259, ""type"": ""Protein""}, {""token"": ""YE2091"", ""start_span"": 345, ""end_span"": 351, ""type"": ""Protein""}]"	train
Two additional phospholipases are present in Y. enterocolitica, namely PdlA ( YE0203) and PdlB ( YE0207), the latter one a homologue of Plu4619.	PdlA,71,75,Protein	YE0203,78,84,Protein	PdlB,90,94,Protein	YE0207,97,103,Protein	Plu4619,136,143,Protein	"[{""token"": ""PdlA"", ""start_span"": 71, ""end_span"": 75, ""type"": ""Protein""}, {""token"": ""YE0203"", ""start_span"": 78, ""end_span"": 84, ""type"": ""Protein""}, {""token"": ""PdlB"", ""start_span"": 90, ""end_span"": 94, ""type"": ""Protein""}, {""token"": ""YE0207"", ""start_span"": 97, ""end_span"": 103, ""type"": ""Protein""}, {""token"": ""Plu4619"", ""start_span"": 136, ""end_span"": 143, ""type"": ""Protein""}]"	train
Furthermore, both insecticidal bacteria produce a chitin - binding - like protein ( Plu2352, YE3576), but chitinase - like proteins ( Plu2235, Plu2458 and Plu2461) are without homologues in Y. enterocolitica.	Plu2352,84,91,Protein	YE3576,93,99,Protein	Plu2235,134,141,Protein	Plu2458,143,150,Protein	Plu2461,155,162,Protein	"[{""token"": ""Plu2352"", ""start_span"": 84, ""end_span"": 91, ""type"": ""Protein""}, {""token"": ""YE3576"", ""start_span"": 93, ""end_span"": 99, ""type"": ""Protein""}, {""token"": ""Plu2235"", ""start_span"": 134, ""end_span"": 141, ""type"": ""Protein""}, {""token"": ""Plu2458"", ""start_span"": 143, ""end_span"": 150, ""type"": ""Protein""}, {""token"": ""Plu2461"", ""start_span"": 155, ""end_span"": 162, ""type"": ""Protein""}]"	train
The graRS mutant is more susceptible to killing by LL - 37 and human neutrophil granulocytes in vitro In an attempt to test whether the increased affinity of the graRS mutant to cationic molecules leads to higher susceptibility to human host defense peptides, we compared inactivation of WT and graRS mutant by the human cathelicidin LL - 37.	graRS,4,9,Protein	LL - 37,51,58,Protein	graRS,162,167,Protein	graRS,295,300,Protein	LL - 37,334,341,Protein	"[{""token"": ""graRS"", ""start_span"": 4, ""end_span"": 9, ""type"": ""Protein""}, {""token"": ""LL - 37"", ""start_span"": 51, ""end_span"": 58, ""type"": ""Protein""}, {""token"": ""graRS"", ""start_span"": 162, ""end_span"": 167, ""type"": ""Protein""}, {""token"": ""graRS"", ""start_span"": 295, ""end_span"": 300, ""type"": ""Protein""}, {""token"": ""LL - 37"", ""start_span"": 334, ""end_span"": 341, ""type"": ""Protein""}]"	train
SLO and SLS double mutant GAS from NIH230 strain ( NIH230slosagA) displayed the killing activity indistinguishable from that of NIH230slo, confirming the primarily role of SLO for GAS - mediated PMN killing.	SLO,0,3,Protein	SLS,8,11,Protein	NIH230slosagA,51,64,Protein	NIH230slo,128,137,Protein	SLO,172,175,Protein	"[{""token"": ""SLO"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Protein""}, {""token"": ""SLS"", ""start_span"": 8, ""end_span"": 11, ""type"": ""Protein""}, {""token"": ""NIH230slosagA"", ""start_span"": 51, ""end_span"": 64, ""type"": ""Protein""}, {""token"": ""NIH230slo"", ""start_span"": 128, ""end_span"": 137, ""type"": ""Protein""}, {""token"": ""SLO"", ""start_span"": 172, ""end_span"": 175, ""type"": ""Protein""}]"	train
As examples, SpeB [ 22] and SLS [ 23] have been proposed as an invasive infection - associated factor by its cytotoxic effect, however, speB and sagA expression is not enhanced in any csrS - mutated severe invasive GAS isolate used in this study and others [ 5], [ 24].	SpeB,13,17,Protein	SLS,28,31,Protein	speB,136,140,Protein	sagA,145,149,Protein	csrS,184,188,Protein	"[{""token"": ""SpeB"", ""start_span"": 13, ""end_span"": 17, ""type"": ""Protein""}, {""token"": ""SLS"", ""start_span"": 28, ""end_span"": 31, ""type"": ""Protein""}, {""token"": ""speB"", ""start_span"": 136, ""end_span"": 140, ""type"": ""Protein""}, {""token"": ""sagA"", ""start_span"": 145, ""end_span"": 149, ""type"": ""Protein""}, {""token"": ""csrS"", ""start_span"": 184, ""end_span"": 188, ""type"": ""Protein""}]"	train
The expression of DNase as well as the slo and the scpC genes in emm1 - genotype strains was enhanced under the csrS mutation [ 5].	DNase,18,23,Protein	slo,39,42,Protein	scpC,51,55,Protein	emm1,65,69,Protein	csrS,112,116,Protein	"[{""token"": ""DNase"", ""start_span"": 18, ""end_span"": 23, ""type"": ""Protein""}, {""token"": ""slo"", ""start_span"": 39, ""end_span"": 42, ""type"": ""Protein""}, {""token"": ""scpC"", ""start_span"": 51, ""end_span"": 55, ""type"": ""Protein""}, {""token"": ""emm1"", ""start_span"": 65, ""end_span"": 69, ""type"": ""Protein""}, {""token"": ""csrS"", ""start_span"": 112, ""end_span"": 116, ""type"": ""Protein""}]"	train
SLO and ScpC independently enable GAS to escape from PMN functions; Present data using clinical isolated GAS and a scpC - deletion mutant ( Figure 4A and 4B) show that enhanced production of serine proteinase ScpC in virulent GAS is essential to impair PMN migration in vitro by degradation of IL - 8, as others partially have demonstrated [ 17] - [ 19].	SLO,0,3,Protein	ScpC,8,12,Protein	scpC,115,119,Protein	ScpC,209,213,Protein	IL - 8,294,300,Protein	"[{""token"": ""SLO"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Protein""}, {""token"": ""ScpC"", ""start_span"": 8, ""end_span"": 12, ""type"": ""Protein""}, {""token"": ""scpC"", ""start_span"": 115, ""end_span"": 119, ""type"": ""Protein""}, {""token"": ""ScpC"", ""start_span"": 209, ""end_span"": 213, ""type"": ""Protein""}, {""token"": ""IL - 8"", ""start_span"": 294, ""end_span"": 300, ""type"": ""Protein""}]"	train
The present study reveals that: i) deletion of rv2623 confers hypervirulence on the tubercle bacillus in animal models, suggesting that expression of Rv2623 may be conducive to the establishment of persistence in vivo; ii) overexpression of Rv2623 results in growth retardation of recipient strains in vitro, further supporting a growth - regulatory role; iii) Rv2623 binds ATP; and finally, through mutagenesis study guided by crystallographic analysis of Rv2623 ( the first such study for a tandem - domain USP), we show that iv) the growth - regulating attribute of this M. tuberculosis USP is linked to its ATP - binding capacity.	rv2623,47,53,Protein	Rv2623,150,156,Protein	Rv2623,241,247,Protein	Rv2623,361,367,Protein	Rv2623,457,463,Protein	"[{""token"": ""rv2623"", ""start_span"": 47, ""end_span"": 53, ""type"": ""Protein""}, {""token"": ""Rv2623"", ""start_span"": 150, ""end_span"": 156, ""type"": ""Protein""}, {""token"": ""Rv2623"", ""start_span"": 241, ""end_span"": 247, ""type"": ""Protein""}, {""token"": ""Rv2623"", ""start_span"": 361, ""end_span"": 367, ""type"": ""Protein""}, {""token"": ""Rv2623"", ""start_span"": 457, ""end_span"": 463, ""type"": ""Protein""}]"	train
Deletion of rv2623 is not likely to affect transcription of neighboring genes, given the sequence - confirmed precise excision of the rv2623 coding region and the gene organization at the rv2623 locus ( the downstream rv2624c is transcribed in the direction opposite to that of rv2623) ( Figure 1B).	rv2623,12,18,Protein	rv2623,134,140,Protein	rv2623,188,194,Protein	rv2624c,218,225,Protein	rv2623,278,284,Protein	"[{""token"": ""rv2623"", ""start_span"": 12, ""end_span"": 18, ""type"": ""Protein""}, {""token"": ""rv2623"", ""start_span"": 134, ""end_span"": 140, ""type"": ""Protein""}, {""token"": ""rv2623"", ""start_span"": 188, ""end_span"": 194, ""type"": ""Protein""}, {""token"": ""rv2624c"", ""start_span"": 218, ""end_span"": 225, ""type"": ""Protein""}, {""token"": ""rv2623"", ""start_span"": 278, ""end_span"": 284, ""type"": ""Protein""}]"	train
Furthermore, the novel TCS systems described here appear to be linked via GacS to the multicomponent system RetS / LadS / GacAS / RsmA essential for regulating the switch between the planktonic and the sessile mode of growth.	GacS,74,78,Protein	RetS,108,112,Protein	LadS,115,119,Protein	GacAS,122,127,Protein	RsmA,130,134,Protein	"[{""token"": ""GacS"", ""start_span"": 74, ""end_span"": 78, ""type"": ""Protein""}, {""token"": ""RetS"", ""start_span"": 108, ""end_span"": 112, ""type"": ""Protein""}, {""token"": ""LadS"", ""start_span"": 115, ""end_span"": 119, ""type"": ""Protein""}, {""token"": ""GacAS"", ""start_span"": 122, ""end_span"": 127, ""type"": ""Protein""}, {""token"": ""RsmA"", ""start_span"": 130, ""end_span"": 134, ""type"": ""Protein""}]"	train
While fruiting body formation is governed by a cascade of RpoN - dependent transcription factors in starving cells, endospore formation in B. subtilis requires the consecutive activity of multiple sigma factors including Sigma E, F, G, and K.	RpoN,58,62,Protein	Sigma E,221,228,Protein	F,230,231,Protein	G,233,234,Protein	K,240,241,Protein	"[{""token"": ""RpoN"", ""start_span"": 58, ""end_span"": 62, ""type"": ""Protein""}, {""token"": ""Sigma E"", ""start_span"": 221, ""end_span"": 228, ""type"": ""Protein""}, {""token"": ""F"", ""start_span"": 230, ""end_span"": 231, ""type"": ""Protein""}, {""token"": ""G"", ""start_span"": 233, ""end_span"": 234, ""type"": ""Protein""}, {""token"": ""K"", ""start_span"": 240, ""end_span"": 241, ""type"": ""Protein""}]"	train
MifR harbors a sigma - 54 binding ( RpoN) binding domain and is dependent on the consecutive phosphorylation of BfiRS and BfmRS ( see Suppl. Fig. S3).	MifR,0,4,Protein	sigma - 54,15,25,Protein	RpoN,36,40,Protein	BfiRS,112,117,Protein	BfmRS,122,127,Protein	"[{""token"": ""MifR"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Protein""}, {""token"": ""sigma - 54"", ""start_span"": 15, ""end_span"": 25, ""type"": ""Protein""}, {""token"": ""RpoN"", ""start_span"": 36, ""end_span"": 40, ""type"": ""Protein""}, {""token"": ""BfiRS"", ""start_span"": 112, ""end_span"": 117, ""type"": ""Protein""}, {""token"": ""BfmRS"", ""start_span"": 122, ""end_span"": 127, ""type"": ""Protein""}]"	train
Since phosphorylation of GacS occurred following 8 hr of surface attached growth ( Table 1) and since RetS directly modulates the phosphorylation state of GacS [ 38], the findings may suggest that RetS only remains functional for a period of 8 hours during initial attachment after which RetS is rendered non - functional.	GacS,25,29,Protein	RetS,102,106,Protein	GacS,155,159,Protein	RetS,197,201,Protein	RetS,288,292,Protein	"[{""token"": ""GacS"", ""start_span"": 25, ""end_span"": 29, ""type"": ""Protein""}, {""token"": ""RetS"", ""start_span"": 102, ""end_span"": 106, ""type"": ""Protein""}, {""token"": ""GacS"", ""start_span"": 155, ""end_span"": 159, ""type"": ""Protein""}, {""token"": ""RetS"", ""start_span"": 197, ""end_span"": 201, ""type"": ""Protein""}, {""token"": ""RetS"", ""start_span"": 288, ""end_span"": 292, ""type"": ""Protein""}]"	train
These include the effector - chaperone pair of SseF - SscB, and the chaperone SseA that binds translocon components SseD and SseB [ 8], [ 9], [ 10].	SseF,47,51,Protein	SscB,54,58,Protein	SseA,78,82,Protein	SseD,116,120,Protein	SseB,125,129,Protein	"[{""token"": ""SseF"", ""start_span"": 47, ""end_span"": 51, ""type"": ""Protein""}, {""token"": ""SscB"", ""start_span"": 54, ""end_span"": 58, ""type"": ""Protein""}, {""token"": ""SseA"", ""start_span"": 78, ""end_span"": 82, ""type"": ""Protein""}, {""token"": ""SseD"", ""start_span"": 116, ""end_span"": 120, ""type"": ""Protein""}, {""token"": ""SseB"", ""start_span"": 125, ""end_span"": 129, ""type"": ""Protein""}]"	train
Identification of an SsrB - regulated secretion chaperone Transcriptional profiling of SsrB - regulated genes in S. enterica serovar Typhimurium ( S. Typhimurium) [ 22] identified a hypothetical gene, STM2138 ( named srcA hereafter), that was co - regulated with genes in SPI - 2 and repressed approximately20 - fold in an ssrB mutant compared to wild type.	SsrB,21,25,Protein	SsrB,87,91,Protein	STM2138,201,208,Protein	srcA,217,221,Protein	ssrB,323,327,Protein	"[{""token"": ""SsrB"", ""start_span"": 21, ""end_span"": 25, ""type"": ""Protein""}, {""token"": ""SsrB"", ""start_span"": 87, ""end_span"": 91, ""type"": ""Protein""}, {""token"": ""STM2138"", ""start_span"": 201, ""end_span"": 208, ""type"": ""Protein""}, {""token"": ""srcA"", ""start_span"": 217, ""end_span"": 221, ""type"": ""Protein""}, {""token"": ""ssrB"", ""start_span"": 323, ""end_span"": 327, ""type"": ""Protein""}]"	train
This analysis revealed a strong SsrB binding site spanning 10 syntenic probes within the intergenic region ( IGR) upstream of srcA, that together with the transcriptional data corroborated a direct regulatory role for SsrB on srcA expression ( Fig. 1A).	SsrB,32,36,Protein	srcA,126,130,Protein	SsrB,218,222,Protein	srcA,226,230,Protein	1A,249,251,Protein	"[{""token"": ""SsrB"", ""start_span"": 32, ""end_span"": 36, ""type"": ""Protein""}, {""token"": ""srcA"", ""start_span"": 126, ""end_span"": 130, ""type"": ""Protein""}, {""token"": ""SsrB"", ""start_span"": 218, ""end_span"": 222, ""type"": ""Protein""}, {""token"": ""srcA"", ""start_span"": 226, ""end_span"": 230, ""type"": ""Protein""}, {""token"": ""1A"", ""start_span"": 249, ""end_span"": 251, ""type"": ""Protein""}]"	train
The direct binding of SsrB to the promoter region upstream of srcA, along with SsrB - regulation of both sseL [ 19], [ 20] and pipB2 [ 32] is indicative of multiple cis - regulatory mutation events that have allowed for functional coordination of the distributed secretion apparatus, chaperone and effector cargos.	SsrB,22,26,Protein	srcA,62,66,Protein	SsrB,79,83,Protein	sseL,105,109,Protein	pipB2,127,132,Protein	"[{""token"": ""SsrB"", ""start_span"": 22, ""end_span"": 26, ""type"": ""Protein""}, {""token"": ""srcA"", ""start_span"": 62, ""end_span"": 66, ""type"": ""Protein""}, {""token"": ""SsrB"", ""start_span"": 79, ""end_span"": 83, ""type"": ""Protein""}, {""token"": ""sseL"", ""start_span"": 105, ""end_span"": 109, ""type"": ""Protein""}, {""token"": ""pipB2"", ""start_span"": 127, ""end_span"": 132, ""type"": ""Protein""}]"	train
Only the genes encoding for chitobiose phosphotransferase ( PTS) uptake and utilization systems ( chbBC; chbF), and for a PTS system of unknown specificity ( frwBCD) were significantly upregulated in the flea [ 16], [ 17].	chitobiose phosphotransferase,28,57,Protein	PTS,60,63,Protein	chbBC,98,103,Protein	chbF,105,109,Protein	frwBCD,158,164,Protein	"[{""token"": ""chitobiose phosphotransferase"", ""start_span"": 28, ""end_span"": 57, ""type"": ""Protein""}, {""token"": ""PTS"", ""start_span"": 60, ""end_span"": 63, ""type"": ""Protein""}, {""token"": ""chbBC"", ""start_span"": 98, ""end_span"": 103, ""type"": ""Protein""}, {""token"": ""chbF"", ""start_span"": 105, ""end_span"": 109, ""type"": ""Protein""}, {""token"": ""frwBCD"", ""start_span"": 158, ""end_span"": 164, ""type"": ""Protein""}]"	train
