UFT and its metabolites inhibit the angiogenesis induced by murine renal cell carcinoma, as determined by a dorsal air sac assay in mice.	"UFT	0	3	Chemical"	"murine	60	66	Organism"	"renal cell carcinoma	67	87	Cancer"	"dorsal air sac	108	122	Multi"	"mice	132	136	Organism"	"[{""token"": ""UFT"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Chemical""}, {""token"": ""murine"", ""start_span"": 60, ""end_span"": 66, ""type"": ""Organism""}, {""token"": ""renal cell carcinoma"", ""start_span"": 67, ""end_span"": 87, ""type"": ""Cancer""}, {""token"": ""dorsal air sac"", ""start_span"": 108, ""end_span"": 122, ""type"": ""Multi""}, {""token"": ""mice"", ""start_span"": 132, ""end_span"": 136, ""type"": ""Organism""}]"
Nitric oxide synthase inhibition results in synergistic anti - tumour activity with melphalan and tumour necrosis factor alpha - based isolated limb perfusions.	"Nitric oxide synthase	0	21	Gene_or_gene_product"	"tumour	63	69	Cancer"	"melphalan	84	93	Chemical"	"tumour necrosis factor alpha	98	126	Gene_or_gene_product"	"limb	144	148	Organism_subdivision"	"[{""token"": ""Nitric oxide synthase"", ""start_span"": 0, ""end_span"": 21, ""type"": ""Gene_or_gene_product""}, {""token"": ""tumour"", ""start_span"": 63, ""end_span"": 69, ""type"": ""Cancer""}, {""token"": ""melphalan"", ""start_span"": 84, ""end_span"": 93, ""type"": ""Chemical""}, {""token"": ""tumour necrosis factor alpha"", ""start_span"": 98, ""end_span"": 126, ""type"": ""Gene_or_gene_product""}, {""token"": ""limb"", ""start_span"": 144, ""end_span"": 148, ""type"": ""Organism_subdivision""}]"
Nitric oxide ( NO) is an important molecule in regulating tumour blood flow and stimulating tumour angiogenesis.	"Nitric oxide	0	12	Chemical"	"NO	15	17	Chemical"	"tumour	58	64	Cancer"	"blood	65	70	Organism_substance"	"tumour	92	98	Cancer"	"[{""token"": ""Nitric oxide"", ""start_span"": 0, ""end_span"": 12, ""type"": ""Chemical""}, {""token"": ""NO"", ""start_span"": 15, ""end_span"": 17, ""type"": ""Chemical""}, {""token"": ""tumour"", ""start_span"": 58, ""end_span"": 64, ""type"": ""Cancer""}, {""token"": ""blood"", ""start_span"": 65, ""end_span"": 70, ""type"": ""Organism_substance""}, {""token"": ""tumour"", ""start_span"": 92, ""end_span"": 98, ""type"": ""Cancer""}]"
Moreover, regional administration of L - NAME, in combination with TNF and melphalan, was studied in an isolated limb perfusion ( ILP) model using BN175 soft - tissue sarcomas.	"L - NAME	37	45	Chemical"	"TNF	67	70	Gene_or_gene_product"	"melphalan	75	84	Chemical"	"limb	113	117	Organism_subdivision"	"BN175 soft - tissue sarcomas	147	175	Cancer"	"[{""token"": ""L - NAME"", ""start_span"": 37, ""end_span"": 45, ""type"": ""Chemical""}, {""token"": ""TNF"", ""start_span"": 67, ""end_span"": 70, ""type"": ""Gene_or_gene_product""}, {""token"": ""melphalan"", ""start_span"": 75, ""end_span"": 84, ""type"": ""Chemical""}, {""token"": ""limb"", ""start_span"": 113, ""end_span"": 117, ""type"": ""Organism_subdivision""}, {""token"": ""BN175 soft - tissue sarcomas"", ""start_span"": 147, ""end_span"": 175, ""type"": ""Cancer""}]"
We have, therefore, measured the mRNA level of VEGF - B and VEGF - C together with their receptors by RNase protection assay ( RPA) in 26 normal kidney samples and 45 renal cell cancers.	"VEGF - B	47	55	Gene_or_gene_product"	"VEGF - C	60	68	Gene_or_gene_product"	"RNase	102	107	Gene_or_gene_product"	"normal kidney samples	138	159	Multi"	"renal cell cancers	167	185	Cancer"	"[{""token"": ""VEGF - B"", ""start_span"": 47, ""end_span"": 55, ""type"": ""Gene_or_gene_product""}, {""token"": ""VEGF - C"", ""start_span"": 60, ""end_span"": 68, ""type"": ""Gene_or_gene_product""}, {""token"": ""RNase"", ""start_span"": 102, ""end_span"": 107, ""type"": ""Gene_or_gene_product""}, {""token"": ""normal kidney samples"", ""start_span"": 138, ""end_span"": 159, ""type"": ""Multi""}, {""token"": ""renal cell cancers"", ""start_span"": 167, ""end_span"": 185, ""type"": ""Cancer""}]"
There was also a significant correlation between VEGF - C and both of its receptors flt - 4 ( P = 0. 006) and KDR ( P = 0. 03) but no association between VEGF - B and its receptor flt - 1 ( P = 0. 23).	"VEGF - C	49	57	Gene_or_gene_product"	"flt - 4	84	91	Gene_or_gene_product"	"KDR	110	113	Gene_or_gene_product"	"VEGF - B	154	162	Gene_or_gene_product"	"flt - 1	180	187	Gene_or_gene_product"	"[{""token"": ""VEGF - C"", ""start_span"": 49, ""end_span"": 57, ""type"": ""Gene_or_gene_product""}, {""token"": ""flt - 4"", ""start_span"": 84, ""end_span"": 91, ""type"": ""Gene_or_gene_product""}, {""token"": ""KDR"", ""start_span"": 110, ""end_span"": 113, ""type"": ""Gene_or_gene_product""}, {""token"": ""VEGF - B"", ""start_span"": 154, ""end_span"": 162, ""type"": ""Gene_or_gene_product""}, {""token"": ""flt - 1"", ""start_span"": 180, ""end_span"": 187, ""type"": ""Gene_or_gene_product""}]"
Hepatomas exhibiting this phenotype are dependent on the high expression of type II hexokinase, which supplies such tumors with abundant amounts of glucose 6 - phosphate, a significant carbon and energy source especially under hypoxic conditions.	"Hepatomas	0	9	Cancer"	"type II hexokinase	76	94	Gene_or_gene_product"	"tumors	116	122	Cancer"	"glucose 6 - phosphate	148	169	Chemical"	"carbon	185	191	Chemical"	"[{""token"": ""Hepatomas"", ""start_span"": 0, ""end_span"": 9, ""type"": ""Cancer""}, {""token"": ""type II hexokinase"", ""start_span"": 76, ""end_span"": 94, ""type"": ""Gene_or_gene_product""}, {""token"": ""tumors"", ""start_span"": 116, ""end_span"": 122, ""type"": ""Cancer""}, {""token"": ""glucose 6 - phosphate"", ""start_span"": 148, ""end_span"": 169, ""type"": ""Chemical""}, {""token"": ""carbon"", ""start_span"": 185, ""end_span"": 191, ""type"": ""Chemical""}]"
Here we report that the distal region of the hepatoma type II hexokinase promoter displays consensus motifs for hypoxia - inducible factor ( HIF - 1) that overlap E - box sequences known to be related in other gene promoters to glucose response.	"hepatoma	45	53	Cancer"	"type II hexokinase	54	72	Gene_or_gene_product"	"hypoxia - inducible factor	112	138	Gene_or_gene_product"	"HIF - 1	141	148	Gene_or_gene_product"	"glucose	228	235	Chemical"	"[{""token"": ""hepatoma"", ""start_span"": 45, ""end_span"": 53, ""type"": ""Cancer""}, {""token"": ""type II hexokinase"", ""start_span"": 54, ""end_span"": 72, ""type"": ""Gene_or_gene_product""}, {""token"": ""hypoxia - inducible factor"", ""start_span"": 112, ""end_span"": 138, ""type"": ""Gene_or_gene_product""}, {""token"": ""HIF - 1"", ""start_span"": 141, ""end_span"": 148, ""type"": ""Gene_or_gene_product""}, {""token"": ""glucose"", ""start_span"": 228, ""end_span"": 235, ""type"": ""Chemical""}]"
In summary, these novel studies identify and characterize a marked glucose - modulated activation response of the type II hexokinase gene to hypoxic conditions within highly glycolytic hepatoma cells, a property that may help assure that such cells exhibit a growth and survival advantage over their parental cells of origin.	"glucose	67	74	Chemical"	"type II hexokinase	114	132	Gene_or_gene_product"	"hepatoma cells	185	199	Cell"	"cells	243	248	Cell"	"parental cells	300	314	Cell"	"[{""token"": ""glucose"", ""start_span"": 67, ""end_span"": 74, ""type"": ""Chemical""}, {""token"": ""type II hexokinase"", ""start_span"": 114, ""end_span"": 132, ""type"": ""Gene_or_gene_product""}, {""token"": ""hepatoma cells"", ""start_span"": 185, ""end_span"": 199, ""type"": ""Cell""}, {""token"": ""cells"", ""start_span"": 243, ""end_span"": 248, ""type"": ""Cell""}, {""token"": ""parental cells"", ""start_span"": 300, ""end_span"": 314, ""type"": ""Cell""}]"
Multiple stages of malignant transformation of human endothelial cells modelled by co - expression of telomerase reverse transcriptase, SV40 T antigen and oncogenic N - ras.	"human	47	52	Organism"	"endothelial cells	53	70	Cell"	"telomerase reverse transcriptase	102	134	Gene_or_gene_product"	"SV40 T antigen	136	150	Gene_or_gene_product"	"N - ras	165	172	Gene_or_gene_product"	"[{""token"": ""human"", ""start_span"": 47, ""end_span"": 52, ""type"": ""Organism""}, {""token"": ""endothelial cells"", ""start_span"": 53, ""end_span"": 70, ""type"": ""Cell""}, {""token"": ""telomerase reverse transcriptase"", ""start_span"": 102, ""end_span"": 134, ""type"": ""Gene_or_gene_product""}, {""token"": ""SV40 T antigen"", ""start_span"": 136, ""end_span"": 150, ""type"": ""Gene_or_gene_product""}, {""token"": ""N - ras"", ""start_span"": 165, ""end_span"": 172, ""type"": ""Gene_or_gene_product""}]"
BMECs co - expressing SV40T, hTERT and N - ras exhibited an overtly transformed phenotype; forming very large colonies with an altered morphology and generating rapidly growing tumours in vivo.	"BMECs	0	5	Cell"	"SV40T	22	27	Gene_or_gene_product"	"hTERT	29	34	Gene_or_gene_product"	"N - ras	39	46	Gene_or_gene_product"	"tumours	177	184	Cancer"	"[{""token"": ""BMECs"", ""start_span"": 0, ""end_span"": 5, ""type"": ""Cell""}, {""token"": ""SV40T"", ""start_span"": 22, ""end_span"": 27, ""type"": ""Gene_or_gene_product""}, {""token"": ""hTERT"", ""start_span"": 29, ""end_span"": 34, ""type"": ""Gene_or_gene_product""}, {""token"": ""N - ras"", ""start_span"": 39, ""end_span"": 46, ""type"": ""Gene_or_gene_product""}, {""token"": ""tumours"", ""start_span"": 177, ""end_span"": 184, ""type"": ""Cancer""}]"
METHODS: Forty - one patients ( 41 eyes) with a clinical diagnosis of exudative ARMD with PED underwent simultaneous fluorescein and indocyanine green angiography, also under high ( 10 degrees) magnification.	"patients	21	29	Organism"	"eyes	35	39	Organ"	"PED	90	93	Pathological_formation"	"fluorescein	117	128	Chemical"	"indocyanine green	133	150	Chemical"	"[{""token"": ""patients"", ""start_span"": 21, ""end_span"": 29, ""type"": ""Organism""}, {""token"": ""eyes"", ""start_span"": 35, ""end_span"": 39, ""type"": ""Organ""}, {""token"": ""PED"", ""start_span"": 90, ""end_span"": 93, ""type"": ""Pathological_formation""}, {""token"": ""fluorescein"", ""start_span"": 117, ""end_span"": 128, ""type"": ""Chemical""}, {""token"": ""indocyanine green"", ""start_span"": 133, ""end_span"": 150, ""type"": ""Chemical""}]"
CONCLUSIONS: Retinal vasculopathies may be observed in eyes with PED and are detectable by indocyanine green and fluorescein angiography.	"Retinal	13	20	Multi"	"eyes	55	59	Organ"	"PED	65	68	Pathological_formation"	"indocyanine green	91	108	Chemical"	"fluorescein	113	124	Chemical"	"[{""token"": ""Retinal"", ""start_span"": 13, ""end_span"": 20, ""type"": ""Multi""}, {""token"": ""eyes"", ""start_span"": 55, ""end_span"": 59, ""type"": ""Organ""}, {""token"": ""PED"", ""start_span"": 65, ""end_span"": 68, ""type"": ""Pathological_formation""}, {""token"": ""indocyanine green"", ""start_span"": 91, ""end_span"": 108, ""type"": ""Chemical""}, {""token"": ""fluorescein"", ""start_span"": 113, ""end_span"": 124, ""type"": ""Chemical""}]"
Fas - Fas ligand signaling pathway mediates an interleukin - 12 - induced rejection of a murine prostate tumor system.	"Fas	0	3	Gene_or_gene_product"	"Fas ligand	6	16	Gene_or_gene_product"	"interleukin - 12	47	63	Gene_or_gene_product"	"murine	89	95	Organism"	"prostate tumor	96	110	Cancer"	"[{""token"": ""Fas"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Gene_or_gene_product""}, {""token"": ""Fas ligand"", ""start_span"": 6, ""end_span"": 16, ""type"": ""Gene_or_gene_product""}, {""token"": ""interleukin - 12"", ""start_span"": 47, ""end_span"": 63, ""type"": ""Gene_or_gene_product""}, {""token"": ""murine"", ""start_span"": 89, ""end_span"": 95, ""type"": ""Organism""}, {""token"": ""prostate tumor"", ""start_span"": 96, ""end_span"": 110, ""type"": ""Cancer""}]"
Fas ( APO - 1 / CD95) is a type I membrane protein that is capable of initiating an apoptosis signaling pathway when bound to its ligand ( FasL).	"Fas	0	3	Gene_or_gene_product"	"APO - 1	6	13	Gene_or_gene_product"	"CD95	16	20	Gene_or_gene_product"	"membrane	34	42	Cellular_component"	"FasL	139	143	Gene_or_gene_product"	"[{""token"": ""Fas"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Gene_or_gene_product""}, {""token"": ""APO - 1"", ""start_span"": 6, ""end_span"": 13, ""type"": ""Gene_or_gene_product""}, {""token"": ""CD95"", ""start_span"": 16, ""end_span"": 20, ""type"": ""Gene_or_gene_product""}, {""token"": ""membrane"", ""start_span"": 34, ""end_span"": 42, ""type"": ""Cellular_component""}, {""token"": ""FasL"", ""start_span"": 139, ""end_span"": 143, ""type"": ""Gene_or_gene_product""}]"
METHODS: An mIL - 12 expression vector driven by cytomegalovirus promoter was used to express murine IL - 12 cDNA in the RM - 9 murine prostate carcinoma cell line.	"mIL - 12	12	20	Gene_or_gene_product"	"cytomegalovirus	49	64	Organism"	"murine	94	100	Organism"	"IL - 12	101	108	Gene_or_gene_product"	"RM - 9 murine prostate carcinoma cell line	121	163	Cell"	"[{""token"": ""mIL - 12"", ""start_span"": 12, ""end_span"": 20, ""type"": ""Gene_or_gene_product""}, {""token"": ""cytomegalovirus"", ""start_span"": 49, ""end_span"": 64, ""type"": ""Organism""}, {""token"": ""murine"", ""start_span"": 94, ""end_span"": 100, ""type"": ""Organism""}, {""token"": ""IL - 12"", ""start_span"": 101, ""end_span"": 108, ""type"": ""Gene_or_gene_product""}, {""token"": ""RM - 9 murine prostate carcinoma cell line"", ""start_span"": 121, ""end_span"": 163, ""type"": ""Cell""}]"
RESULTS: IL - 12 - expressing RM - 9 prostate carcinoma cells transplanted into C57BL / J6 mice grew more slowly than control RM - 9 cells and vector control RM - 9 - Luc cells.	"IL - 12	9	16	Gene_or_gene_product"	"RM - 9 prostate carcinoma cells	30	61	Cell"	"C57BL / J6 mice	80	95	Organism"	"RM - 9 cells	126	138	Cell"	"RM - 9 - Luc cells	158	176	Cell"	"[{""token"": ""IL - 12"", ""start_span"": 9, ""end_span"": 16, ""type"": ""Gene_or_gene_product""}, {""token"": ""RM - 9 prostate carcinoma cells"", ""start_span"": 30, ""end_span"": 61, ""type"": ""Cell""}, {""token"": ""C57BL / J6 mice"", ""start_span"": 80, ""end_span"": 95, ""type"": ""Organism""}, {""token"": ""RM - 9 cells"", ""start_span"": 126, ""end_span"": 138, ""type"": ""Cell""}, {""token"": ""RM - 9 - Luc cells"", ""start_span"": 158, ""end_span"": 176, ""type"": ""Cell""}]"
Using DsRed - tagged Crk and a fluorescent time - lapse microscope, we showed that Crk was recruited to the nascent focal complex after ephrin - B1 stimulation.	"DsRed	6	11	Chemical"	"Crk	21	24	Gene_or_gene_product"	"Crk	83	86	Gene_or_gene_product"	"nascent focal complex	108	129	Cellular_component"	"ephrin - B1	136	147	Gene_or_gene_product"	"[{""token"": ""DsRed"", ""start_span"": 6, ""end_span"": 11, ""type"": ""Chemical""}, {""token"": ""Crk"", ""start_span"": 21, ""end_span"": 24, ""type"": ""Gene_or_gene_product""}, {""token"": ""Crk"", ""start_span"": 83, ""end_span"": 86, ""type"": ""Gene_or_gene_product""}, {""token"": ""nascent focal complex"", ""start_span"": 108, ""end_span"": 129, ""type"": ""Cellular_component""}, {""token"": ""ephrin - B1"", ""start_span"": 136, ""end_span"": 147, ""type"": ""Gene_or_gene_product""}]"
The necessity of Crk in ephrin - B1 - induced membrane ruffling was shown both by the overexpression of dominant negative Crk mutants and by the depletion of Crk by using RNA interference.	"Crk	17	20	Gene_or_gene_product"	"ephrin - B1	24	35	Gene_or_gene_product"	"membrane	46	54	Cellular_component"	"Crk	122	125	Gene_or_gene_product"	"Crk	158	161	Gene_or_gene_product"	"[{""token"": ""Crk"", ""start_span"": 17, ""end_span"": 20, ""type"": ""Gene_or_gene_product""}, {""token"": ""ephrin - B1"", ""start_span"": 24, ""end_span"": 35, ""type"": ""Gene_or_gene_product""}, {""token"": ""membrane"", ""start_span"": 46, ""end_span"": 54, ""type"": ""Cellular_component""}, {""token"": ""Crk"", ""start_span"": 122, ""end_span"": 125, ""type"": ""Gene_or_gene_product""}, {""token"": ""Crk"", ""start_span"": 158, ""end_span"": 161, ""type"": ""Gene_or_gene_product""}]"
FVIIa markedly decreased the number of cells with apoptotic morphology and prevented the DNA degradation as measured by means of TdT - mediated dUTP nick end labeling ( TUNEL).	"FVIIa	0	5	Gene_or_gene_product"	"cells	39	44	Cell"	"DNA	89	92	Cellular_component"	"TdT	129	132	Gene_or_gene_product"	"dUTP	144	148	Chemical"	"[{""token"": ""FVIIa"", ""start_span"": 0, ""end_span"": 5, ""type"": ""Gene_or_gene_product""}, {""token"": ""cells"", ""start_span"": 39, ""end_span"": 44, ""type"": ""Cell""}, {""token"": ""DNA"", ""start_span"": 89, ""end_span"": 92, ""type"": ""Cellular_component""}, {""token"": ""TdT"", ""start_span"": 129, ""end_span"": 132, ""type"": ""Gene_or_gene_product""}, {""token"": ""dUTP"", ""start_span"": 144, ""end_span"": 148, ""type"": ""Chemical""}]"
FVIIa - induced cell survival correlated with the activation of Akt and was inhibited markedly by the specific PI3 - kinase inhibitor, LY294002.	"FVIIa	0	5	Gene_or_gene_product"	"cell	16	20	Cell"	"Akt	64	67	Gene_or_gene_product"	"PI3 - kinase	111	123	Gene_or_gene_product"	"LY294002	135	143	Chemical"	"[{""token"": ""FVIIa"", ""start_span"": 0, ""end_span"": 5, ""type"": ""Gene_or_gene_product""}, {""token"": ""cell"", ""start_span"": 16, ""end_span"": 20, ""type"": ""Cell""}, {""token"": ""Akt"", ""start_span"": 64, ""end_span"": 67, ""type"": ""Gene_or_gene_product""}, {""token"": ""PI3 - kinase"", ""start_span"": 111, ""end_span"": 123, ""type"": ""Gene_or_gene_product""}, {""token"": ""LY294002"", ""start_span"": 135, ""end_span"": 143, ""type"": ""Chemical""}]"
In conclusion, FVIIa binding to TF provided protection against apoptosis induced by growth factor deprivation, primarily through activation of PI3 - kinase / Akt pathway, and to a lesser extent, p44 / 42 MAPK pathway.	"FVIIa	15	20	Gene_or_gene_product"	"TF	32	34	Gene_or_gene_product"	"PI3 - kinase	143	155	Gene_or_gene_product"	"Akt	158	161	Gene_or_gene_product"	"p44 / 42 MAPK	195	208	Gene_or_gene_product"	"[{""token"": ""FVIIa"", ""start_span"": 15, ""end_span"": 20, ""type"": ""Gene_or_gene_product""}, {""token"": ""TF"", ""start_span"": 32, ""end_span"": 34, ""type"": ""Gene_or_gene_product""}, {""token"": ""PI3 - kinase"", ""start_span"": 143, ""end_span"": 155, ""type"": ""Gene_or_gene_product""}, {""token"": ""Akt"", ""start_span"": 158, ""end_span"": 161, ""type"": ""Gene_or_gene_product""}, {""token"": ""p44 / 42 MAPK"", ""start_span"": 195, ""end_span"": 208, ""type"": ""Gene_or_gene_product""}]"
Balb / c 3T3 cells carrying this NPC - LMP gene showed a transformed cell morphology and were tumorigenic in nude mice.	"Balb / c 3T3 cells	0	18	Cell"	"NPC	33	36	Cancer"	"LMP	39	42	Gene_or_gene_product"	"cell	69	73	Cell"	"nude mice	109	118	Organism"	"[{""token"": ""Balb / c 3T3 cells"", ""start_span"": 0, ""end_span"": 18, ""type"": ""Cell""}, {""token"": ""NPC"", ""start_span"": 33, ""end_span"": 36, ""type"": ""Cancer""}, {""token"": ""LMP"", ""start_span"": 39, ""end_span"": 42, ""type"": ""Gene_or_gene_product""}, {""token"": ""cell"", ""start_span"": 69, ""end_span"": 73, ""type"": ""Cell""}, {""token"": ""nude mice"", ""start_span"": 109, ""end_span"": 118, ""type"": ""Organism""}]"
Angiogenic factors, in particular vascular endothelial growth factor ( VEGF) and the angiopoietins, Ang - 1 and - 2, have recently generated significant interest, especially in oncology.	"vascular endothelial growth factor	34	68	Gene_or_gene_product"	"VEGF	71	75	Gene_or_gene_product"	"angiopoietins	85	98	Gene_or_gene_product"	"Ang - 1	100	107	Gene_or_gene_product"	"- 2	112	115	Gene_or_gene_product"	"[{""token"": ""vascular endothelial growth factor"", ""start_span"": 34, ""end_span"": 68, ""type"": ""Gene_or_gene_product""}, {""token"": ""VEGF"", ""start_span"": 71, ""end_span"": 75, ""type"": ""Gene_or_gene_product""}, {""token"": ""angiopoietins"", ""start_span"": 85, ""end_span"": 98, ""type"": ""Gene_or_gene_product""}, {""token"": ""Ang - 1"", ""start_span"": 100, ""end_span"": 107, ""type"": ""Gene_or_gene_product""}, {""token"": ""- 2"", ""start_span"": 112, ""end_span"": 115, ""type"": ""Gene_or_gene_product""}]"
BACKGROUND & # 38; OBJECTIVE: Previous study shows that both vascular endothelial growth - C ( VEGF - C) and tumor - associated macrophages ( TAMs) are related to lymphatic metastasis.	"vascular endothelial growth - C	61	92	Gene_or_gene_product"	"VEGF - C	95	103	Gene_or_gene_product"	"tumor - associated macrophages	109	139	Cell"	"TAMs	142	146	Cell"	"lymphatic	163	172	Organ"	"[{""token"": ""vascular endothelial growth - C"", ""start_span"": 61, ""end_span"": 92, ""type"": ""Gene_or_gene_product""}, {""token"": ""VEGF - C"", ""start_span"": 95, ""end_span"": 103, ""type"": ""Gene_or_gene_product""}, {""token"": ""tumor - associated macrophages"", ""start_span"": 109, ""end_span"": 139, ""type"": ""Cell""}, {""token"": ""TAMs"", ""start_span"": 142, ""end_span"": 146, ""type"": ""Cell""}, {""token"": ""lymphatic"", ""start_span"": 163, ""end_span"": 172, ""type"": ""Organ""}]"
In brain, receptors for VEGF have been localized to vascular endothelium, neurons, and glia.	"brain	3	8	Organ"	"VEGF	24	28	Gene_or_gene_product"	"vascular endothelium	52	72	Tissue"	"neurons	74	81	Cell"	"glia	87	91	Cell"	"[{""token"": ""brain"", ""start_span"": 3, ""end_span"": 8, ""type"": ""Organ""}, {""token"": ""VEGF"", ""start_span"": 24, ""end_span"": 28, ""type"": ""Gene_or_gene_product""}, {""token"": ""vascular endothelium"", ""start_span"": 52, ""end_span"": 72, ""type"": ""Tissue""}, {""token"": ""neurons"", ""start_span"": 74, ""end_span"": 81, ""type"": ""Cell""}, {""token"": ""glia"", ""start_span"": 87, ""end_span"": 91, ""type"": ""Cell""}]"
VEGF is upregulated after hypoxic injury to the brain, which can occur during cerebral ischemia or high - altitude edema, and has been implicated in the blood - brain barrier breakdown associated with these conditions.	"VEGF	0	4	Gene_or_gene_product"	"brain	48	53	Organ"	"cerebral	78	86	Organ"	"edema	115	120	Pathological_formation"	"blood - brain barrier	153	174	Multi"	"[{""token"": ""VEGF"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Gene_or_gene_product""}, {""token"": ""brain"", ""start_span"": 48, ""end_span"": 53, ""type"": ""Organ""}, {""token"": ""cerebral"", ""start_span"": 78, ""end_span"": 86, ""type"": ""Organ""}, {""token"": ""edema"", ""start_span"": 115, ""end_span"": 120, ""type"": ""Pathological_formation""}, {""token"": ""blood - brain barrier"", ""start_span"": 153, ""end_span"": 174, ""type"": ""Multi""}]"
We have described striking increases in VEGF protein in both neurons and glia after pilocarpine - induced status epilepticus in the brain.	"VEGF	40	44	Gene_or_gene_product"	"neurons	61	68	Cell"	"glia	73	77	Cell"	"pilocarpine	84	95	Chemical"	"brain	132	137	Organ"	"[{""token"": ""VEGF"", ""start_span"": 40, ""end_span"": 44, ""type"": ""Gene_or_gene_product""}, {""token"": ""neurons"", ""start_span"": 61, ""end_span"": 68, ""type"": ""Cell""}, {""token"": ""glia"", ""start_span"": 73, ""end_span"": 77, ""type"": ""Cell""}, {""token"": ""pilocarpine"", ""start_span"": 84, ""end_span"": 95, ""type"": ""Chemical""}, {""token"": ""brain"", ""start_span"": 132, ""end_span"": 137, ""type"": ""Organ""}]"
Verteporfin has a high affinity for choroidal neovascular membranes, typically found with exudative AMD, and upon photoactivation results in targeted microvascular damage and thrombus formation with resultant vessel occlusion.	"Verteporfin	0	11	Chemical"	"choroidal neovascular membranes	36	67	Multi"	"microvascular	150	163	Tissue"	"thrombus	175	183	Pathological_formation"	"vessel	209	215	Multi"	"[{""token"": ""Verteporfin"", ""start_span"": 0, ""end_span"": 11, ""type"": ""Chemical""}, {""token"": ""choroidal neovascular membranes"", ""start_span"": 36, ""end_span"": 67, ""type"": ""Multi""}, {""token"": ""microvascular"", ""start_span"": 150, ""end_span"": 163, ""type"": ""Tissue""}, {""token"": ""thrombus"", ""start_span"": 175, ""end_span"": 183, ""type"": ""Pathological_formation""}, {""token"": ""vessel"", ""start_span"": 209, ""end_span"": 215, ""type"": ""Multi""}]"
