Sentence	entity_1	entity_2	entity_3	json	split
The same reactor was used in three different experiments: ( i) determination of the optimal Hydraulic Retention Time ( HRT) ( Alk - HRT); ( ii) determination of the optimal Organic Loading Rate ( OLR) ( Alk - OLR) and ( iii) operation at optimal identified parameters ( Alk - Opt).	reactor,9,16,engineered	Alk - OLR,203,212,engineered	Alk - Opt,270,279,engineered	"[{""token"": ""reactor"", ""start_span"": 9, ""end_span"": 16, ""type"": ""engineered""}, {""token"": ""Alk - OLR"", ""start_span"": 203, ""end_span"": 212, ""type"": ""engineered""}, {""token"": ""Alk - Opt"", ""start_span"": 270, ""end_span"": 279, ""type"": ""engineered""}]"	train
Sample collection Samples of microbial consortia involved in biogas production were collected from ( i) the fermenter tank of an agricultural two - stage biogas plant anaerobic digester ( AD) in Miedzyrzec Podlaski ( Poland) and ( ii) an effluent sludge tank from a one - stage wastewater treatment plant anaerobic digester ( WD) at MPWIK Pulawy ( Poland).	fermenter tank,108,122,engineered	effluent sludge tank,238,258,engineered	MPWIK,333,338,engineered	"[{""token"": ""fermenter tank"", ""start_span"": 108, ""end_span"": 122, ""type"": ""engineered""}, {""token"": ""effluent sludge tank"", ""start_span"": 238, ""end_span"": 258, ""type"": ""engineered""}, {""token"": ""MPWIK"", ""start_span"": 333, ""end_span"": 338, ""type"": ""engineered""}]"	train
The warming treatment simulates the predictions derived from six atmosphere general circulation models for the second half of the twenty - first century in the Western Mediterranean region ( De Castro et al., 2005), and was achieved by installing ventilated open - top chambers ( OTCs), which are hexagonal chambers with sloping slides of 40 cm x 50 cm x 32 cm ( Fig. S2).	chambers,269,277,engineered	OTCs,280,284,engineered	chambers,307,315,engineered	"[{""token"": ""chambers"", ""start_span"": 269, ""end_span"": 277, ""type"": ""engineered""}, {""token"": ""OTCs"", ""start_span"": 280, ""end_span"": 284, ""type"": ""engineered""}, {""token"": ""chambers"", ""start_span"": 307, ""end_span"": 315, ""type"": ""engineered""}]"	train
Anaerobic Membrane Bioreactor Operation A side - stream AnMBR with a bioreactor with working volume of 29 L was used to treat synthetic domestic wastewater ( Figure 1).	Bioreactor,19,29,engineered	AnMBR,56,61,engineered	bioreactor,69,79,engineered	"[{""token"": ""Bioreactor"", ""start_span"": 19, ""end_span"": 29, ""type"": ""engineered""}, {""token"": ""AnMBR"", ""start_span"": 56, ""end_span"": 61, ""type"": ""engineered""}, {""token"": ""bioreactor"", ""start_span"": 69, ""end_span"": 79, ""type"": ""engineered""}]"	train
In order to better understand the methanogenic communities that are responsible for methane production in acetate - fed MECs operated with current generation, we examined microbial communities and gas production rates in MECs using two different inoculum sources: sediments from a natural bog; and anaerobic digester ( AD) sludge from a local wastewater treatment plant.	MECs,120,124,engineered	MECs,221,225,engineered	wastewater treatment plant,343,369,engineered	"[{""token"": ""MECs"", ""start_span"": 120, ""end_span"": 124, ""type"": ""engineered""}, {""token"": ""MECs"", ""start_span"": 221, ""end_span"": 225, ""type"": ""engineered""}, {""token"": ""wastewater treatment plant"", ""start_span"": 343, ""end_span"": 369, ""type"": ""engineered""}]"	train
Activated sludge bacterial communities of typical wastewater treatment plants: distinct genera identification and metabolic potential differential analysis To investigate the differences in activated sludge microbial communities of different wastewater treatment plants ( WWTPs) and understand their metabolic potentials, we sampled sludge from every biological treatment unit of 5 full - scale waste water treatment systems in 3 typical Chinese municipal WWTPs.	biological treatment unit,351,376,engineered	waste water treatment systems,395,424,engineered	WWTPs,456,461,engineered	"[{""token"": ""biological treatment unit"", ""start_span"": 351, ""end_span"": 376, ""type"": ""engineered""}, {""token"": ""waste water treatment systems"", ""start_span"": 395, ""end_span"": 424, ""type"": ""engineered""}, {""token"": ""WWTPs"", ""start_span"": 456, ""end_span"": 461, ""type"": ""engineered""}]"	train
Materials and methods Study design and subjects This study was performed in healthy infants whose mothers delivered at the Research Institute of Tropical medicine associated clinic in Muntinlupa City, Philippines or Chris Hani Baragwanath Hospital in Johannesburg, South Africa between June 2012 and January 2013.	Research Institute of Tropical medicine,123,162,engineered	clinic,174,180,engineered	Chris Hani Baragwanath Hospital,216,247,engineered	"[{""token"": ""Research Institute of Tropical medicine"", ""start_span"": 123, ""end_span"": 162, ""type"": ""engineered""}, {""token"": ""clinic"", ""start_span"": 174, ""end_span"": 180, ""type"": ""engineered""}, {""token"": ""Chris Hani Baragwanath Hospital"", ""start_span"": 216, ""end_span"": 247, ""type"": ""engineered""}]"	train
The laboratory - scale CMSS system consisting of a 10L gas - tight continuously stirred tank reactor, and two clarifier tanks were operated at ambient temperature ( 23C).	CMSS system,23,34,engineered	tank reactor,88,100,engineered	clarifier tanks,110,125,engineered	"[{""token"": ""CMSS system"", ""start_span"": 23, ""end_span"": 34, ""type"": ""engineered""}, {""token"": ""tank reactor"", ""start_span"": 88, ""end_span"": 100, ""type"": ""engineered""}, {""token"": ""clarifier tanks"", ""start_span"": 110, ""end_span"": 125, ""type"": ""engineered""}]"	train
In the case of M1B, after taking samples for total DNA isolation, the medium flow was switched off for 3weeks during which the COD of the fluid phase in the bioreactor dropped below 100mg O2 / L. Then, the medium with a known carbon isotopic composition was supplied to the bioreactor again and fermentation gas samples were taken for isotope analyses over the next 7weeks.	M1B,15,18,engineered	bioreactor,157,167,engineered	bioreactor,274,284,engineered	"[{""token"": ""M1B"", ""start_span"": 15, ""end_span"": 18, ""type"": ""engineered""}, {""token"": ""bioreactor"", ""start_span"": 157, ""end_span"": 167, ""type"": ""engineered""}, {""token"": ""bioreactor"", ""start_span"": 274, ""end_span"": 284, ""type"": ""engineered""}]"	train
The inoculum anaerobic granular sludge originated from a full - scale reactor treating brewery wastewater, information regarding operational conditions of this reactor was reported previously ( Gonzalez - Gil et al., 2001).	reactor,70,77,engineered	brewery,87,94,engineered	reactor,160,167,engineered	"[{""token"": ""reactor"", ""start_span"": 70, ""end_span"": 77, ""type"": ""engineered""}, {""token"": ""brewery"", ""start_span"": 87, ""end_span"": 94, ""type"": ""engineered""}, {""token"": ""reactor"", ""start_span"": 160, ""end_span"": 167, ""type"": ""engineered""}]"	train
Methods Biogas plants In total, the main digesters of 10 different industrial - scale biogas plants were investigated.	Biogas plants,8,21,engineered	digesters,41,50,engineered	biogas plants,86,99,engineered	"[{""token"": ""Biogas plants"", ""start_span"": 8, ""end_span"": 21, ""type"": ""engineered""}, {""token"": ""digesters"", ""start_span"": 41, ""end_span"": 50, ""type"": ""engineered""}, {""token"": ""biogas plants"", ""start_span"": 86, ""end_span"": 99, ""type"": ""engineered""}]"	train
We recruited in Thailand at Khun Chang Khian ( KCK), a rural Hmong village located one hour from Chiang Mai city, as well as from Mae La ( ML) Camp, a Burmese refugee camp in Tak province located on the Myanmar - Thailand border ( Figure S1).	village,67,74,engineered	Camp,143,147,engineered	camp,167,171,engineered	"[{""token"": ""village"", ""start_span"": 67, ""end_span"": 74, ""type"": ""engineered""}, {""token"": ""Camp"", ""start_span"": 143, ""end_span"": 147, ""type"": ""engineered""}, {""token"": ""camp"", ""start_span"": 167, ""end_span"": 171, ""type"": ""engineered""}]"	train
The anaerobic granules were from upflow anaerobic reactors treating paper mill ( AnG E), brewery ( AnG B) and sulfate - rich thermophilic ( AnG W) wastewaters.	reactors,50,58,engineered	paper mill,68,78,engineered	brewery,89,96,engineered	"[{""token"": ""reactors"", ""start_span"": 50, ""end_span"": 58, ""type"": ""engineered""}, {""token"": ""paper mill"", ""start_span"": 68, ""end_span"": 78, ""type"": ""engineered""}, {""token"": ""brewery"", ""start_span"": 89, ""end_span"": 96, ""type"": ""engineered""}]"	train
The bioreactor was fed with anaerobic digester filtrate obtained from the belt filter press of a local wastewater treatment plant ( CVWRF, Salt Lake City, UT, USA).	bioreactor,4,14,engineered	digester,38,46,engineered	wastewater treatment plant,103,129,engineered	"[{""token"": ""bioreactor"", ""start_span"": 4, ""end_span"": 14, ""type"": ""engineered""}, {""token"": ""digester"", ""start_span"": 38, ""end_span"": 46, ""type"": ""engineered""}, {""token"": ""wastewater treatment plant"", ""start_span"": 103, ""end_span"": 129, ""type"": ""engineered""}]"	train
Determination of Nitrate Utilization in hNRB Enrichments The reduction of nitrate in microcosms was monitored as a function of time in serum bottles while nitrate was only measured at the end of incubation period in the Hungate tubes.	microcosms,85,95,engineered	serum bottles,135,148,engineered	Hungate tubes,220,233,engineered	"[{""token"": ""microcosms"", ""start_span"": 85, ""end_span"": 95, ""type"": ""engineered""}, {""token"": ""serum bottles"", ""start_span"": 135, ""end_span"": 148, ""type"": ""engineered""}, {""token"": ""Hungate tubes"", ""start_span"": 220, ""end_span"": 233, ""type"": ""engineered""}]"	train
Solution - 1 was used in reactors Alk - HRT and Alk - OLR while Solution - 2 was used in Alk - Opt.	reactors Alk - HRT,25,43,engineered	Alk - OLR,48,57,engineered	Alk - Opt,89,98,engineered	"[{""token"": ""reactors Alk - HRT"", ""start_span"": 25, ""end_span"": 43, ""type"": ""engineered""}, {""token"": ""Alk - OLR"", ""start_span"": 48, ""end_span"": 57, ""type"": ""engineered""}, {""token"": ""Alk - Opt"", ""start_span"": 89, ""end_span"": 98, ""type"": ""engineered""}]"	train
Information regarding operational conditions of the papermill and the brewery reactors have been previously reported3638, whereas information of the third reactor could not be retrieved from the company.	papermill,52,61,engineered	brewery reactors,70,86,engineered	reactor,155,162,engineered	"[{""token"": ""papermill"", ""start_span"": 52, ""end_span"": 61, ""type"": ""engineered""}, {""token"": ""brewery reactors"", ""start_span"": 70, ""end_span"": 86, ""type"": ""engineered""}, {""token"": ""reactor"", ""start_span"": 155, ""end_span"": 162, ""type"": ""engineered""}]"	train
- 84. 33) is located 2 km from Well FW106 ( Area 3, adjacent to the former S - 3 disposal ponds) with both wells located on the same geological strike along the Bear Creek Valley.	Well,31,35,engineered	FW106,36,41,engineered	wells,107,112,engineered	"[{""token"": ""Well"", ""start_span"": 31, ""end_span"": 35, ""type"": ""engineered""}, {""token"": ""FW106"", ""start_span"": 36, ""end_span"": 41, ""type"": ""engineered""}, {""token"": ""wells"", ""start_span"": 107, ""end_span"": 112, ""type"": ""engineered""}]"	train
Although this oilfield has been used as a study site for nitrate treatment of souring for 10 years ( Suri et al., 2017), previous investigations of this oilfield have reported chemical and functional evidence of nitrate - free zones harboring active methanogenic archaea ( Agrawal et al., 2012), from which all PW samples were collected for this study.	oilfield,14,22,engineered	oilfield,153,161,engineered	PW,311,313,engineered	"[{""token"": ""oilfield"", ""start_span"": 14, ""end_span"": 22, ""type"": ""engineered""}, {""token"": ""oilfield"", ""start_span"": 153, ""end_span"": 161, ""type"": ""engineered""}, {""token"": ""PW"", ""start_span"": 311, ""end_span"": 313, ""type"": ""engineered""}]"	train
Methods Biogas reactors configuration The experiment was carried out in a single and two - stage CSTRs, denoted as R1 and R2R3, respectively, as described by Fontana et al. [ 10].	Biogas reactors,8,23,engineered	CSTRs,97,102,engineered	R1,115,117,engineered	"[{""token"": ""Biogas reactors"", ""start_span"": 8, ""end_span"": 23, ""type"": ""engineered""}, {""token"": ""CSTRs"", ""start_span"": 97, ""end_span"": 102, ""type"": ""engineered""}, {""token"": ""R1"", ""start_span"": 115, ""end_span"": 117, ""type"": ""engineered""}]"	train
Materials and methods Bioreactor set - up A 2. 0 L semi - continuous stirred tank reactor ( S - CSTR) with a working volume of 1. 5 L operating at 35C and at high pH ( ~ 10) and high salt concentration ( 2. 0 M Na +) was set up and operated at anaerobic conditions.	Bioreactor,22,32,engineered	semi - continuous stirred tank reactor,51,89,engineered	S - CSTR,92,100,engineered	"[{""token"": ""Bioreactor"", ""start_span"": 22, ""end_span"": 32, ""type"": ""engineered""}, {""token"": ""semi - continuous stirred tank reactor"", ""start_span"": 51, ""end_span"": 89, ""type"": ""engineered""}, {""token"": ""S - CSTR"", ""start_span"": 92, ""end_span"": 100, ""type"": ""engineered""}]"	train
Produced water from producing well 18PW in the MHGC field collected monthly was used to inoculate all cultures ( Voordouw et al., 2009).	well,30,34,engineered	18PW,35,39,engineered	MHGC field,47,57,engineered	"[{""token"": ""well"", ""start_span"": 30, ""end_span"": 34, ""type"": ""engineered""}, {""token"": ""18PW"", ""start_span"": 35, ""end_span"": 39, ""type"": ""engineered""}, {""token"": ""MHGC field"", ""start_span"": 47, ""end_span"": 57, ""type"": ""engineered""}]"	train
Methods Bioreactor operation A 5l continuously fed sequencing batch reactor ( anammox bioreactor) has been operating in the Goel Laboratory at the University of Utah for the past 6 years, achieving stable anammox performance50.	Bioreactor,8,18,engineered	sequencing batch reactor,51,75,engineered	anammox bioreactor,78,96,engineered	"[{""token"": ""Bioreactor"", ""start_span"": 8, ""end_span"": 18, ""type"": ""engineered""}, {""token"": ""sequencing batch reactor"", ""start_span"": 51, ""end_span"": 75, ""type"": ""engineered""}, {""token"": ""anammox bioreactor"", ""start_span"": 78, ""end_span"": 96, ""type"": ""engineered""}]"	train
The COD removal was stable from the first day of operation, above 95, 90 and 80% in R1, R2 and R3 respectively.	R1,84,86,engineered	R2,88,90,engineered	R3,95,97,engineered	"[{""token"": ""R1"", ""start_span"": 84, ""end_span"": 86, ""type"": ""engineered""}, {""token"": ""R2"", ""start_span"": 88, ""end_span"": 90, ""type"": ""engineered""}, {""token"": ""R3"", ""start_span"": 95, ""end_span"": 97, ""type"": ""engineered""}]"	train
These digesters were all operating at mesophilic temperature ( range 3738C), six processing sludge from wastewater treatment plants ( WWTP0106) and four co - digesting various organic waste fractions ( CD0104), such as agricultural waste, source - separated organic municipal household waste and slaughterhouse waste ( Table1).	digesters,6,15,engineered	wastewater treatment plants,104,131,engineered	WWTP0106,134,142,engineered	"[{""token"": ""digesters"", ""start_span"": 6, ""end_span"": 15, ""type"": ""engineered""}, {""token"": ""wastewater treatment plants"", ""start_span"": 104, ""end_span"": 131, ""type"": ""engineered""}, {""token"": ""WWTP0106"", ""start_span"": 134, ""end_span"": 142, ""type"": ""engineered""}]"	train
Pellets from 40 ml of water kefir liquor or 2. 2 g of water kefir grains ( in 11 aliquots of 0. 2 g, due to the high volume of water kefir grains) were used as input material for the DNA extraction protocol that was carried out in tubes.	kefir,28,33,engineered	kefir,60,65,engineered	kefir,133,138,engineered	"[{""token"": ""kefir"", ""start_span"": 28, ""end_span"": 33, ""type"": ""engineered""}, {""token"": ""kefir"", ""start_span"": 60, ""end_span"": 65, ""type"": ""engineered""}, {""token"": ""kefir"", ""start_span"": 133, ""end_span"": 138, ""type"": ""engineered""}]"	train
Besides the HP - Core, a second core was collected from adjacent hydrate - containing sediment into a traditional M - type corer ( hereafter, M - Core).	HP - Core,12,21,engineered	M - type corer,114,128,engineered	M - Core,142,150,engineered	"[{""token"": ""HP - Core"", ""start_span"": 12, ""end_span"": 21, ""type"": ""engineered""}, {""token"": ""M - type corer"", ""start_span"": 114, ""end_span"": 128, ""type"": ""engineered""}, {""token"": ""M - Core"", ""start_span"": 142, ""end_span"": 150, ""type"": ""engineered""}]"	train
Materials and Methods Metagenomic Sampling and DNA Extraction All samples were obtained from shallow groundwater located at the Integrated Field Research Center ( OR - IFRC) at the Y - 12 Federal Security Complex in Oak Ridge, TN.	Integrated Field Research Center,128,160,engineered	OR - IFRC,163,172,engineered	Y - 12 Federal Security Complex,181,212,engineered	"[{""token"": ""Integrated Field Research Center"", ""start_span"": 128, ""end_span"": 160, ""type"": ""engineered""}, {""token"": ""OR - IFRC"", ""start_span"": 163, ""end_span"": 172, ""type"": ""engineered""}, {""token"": ""Y - 12 Federal Security Complex"", ""start_span"": 181, ""end_span"": 212, ""type"": ""engineered""}]"	train
Mesophilic and thermophilic inoculums were obtained from a mesophilic and thermophilic reactor, respectively, located at Research Centre Foulum ( Aarhus University, Denmark).	reactor,87,94,engineered	Research Centre Foulum,121,143,engineered	Aarhus University,146,163,engineered	"[{""token"": ""reactor"", ""start_span"": 87, ""end_span"": 94, ""type"": ""engineered""}, {""token"": ""Research Centre Foulum"", ""start_span"": 121, ""end_span"": 143, ""type"": ""engineered""}, {""token"": ""Aarhus University"", ""start_span"": 146, ""end_span"": 163, ""type"": ""engineered""}]"	train
Experimental procedures Substrate and reactors performances Dairy cattle manure was obtained from Research Centre Foulum ( Aarhus University, Denmark) in two periods ( April and June).	reactors,38,46,engineered	Research Centre Foulum,98,120,engineered	Aarhus University,123,140,engineered	"[{""token"": ""reactors"", ""start_span"": 38, ""end_span"": 46, ""type"": ""engineered""}, {""token"": ""Research Centre Foulum"", ""start_span"": 98, ""end_span"": 120, ""type"": ""engineered""}, {""token"": ""Aarhus University"", ""start_span"": 123, ""end_span"": 140, ""type"": ""engineered""}]"	train
Complete ammonium removal was achieved after 3, 4 and 6weeks in R1, R2 and R3 respectively ( Additional file 1: Figure S3).	R1,64,66,engineered	R2,68,70,engineered	R3,75,77,engineered	"[{""token"": ""R1"", ""start_span"": 64, ""end_span"": 66, ""type"": ""engineered""}, {""token"": ""R2"", ""start_span"": 68, ""end_span"": 70, ""type"": ""engineered""}, {""token"": ""R3"", ""start_span"": 75, ""end_span"": 77, ""type"": ""engineered""}]"	train
To summarize, following purging of several well volumes of water, a total of 500 L of groundwater were extracted from well FW301 ( 1 / 16 / 07 and 2 / 5 / 07) at a depth of 21 m by peristaltic pumps and biomass was collected by filtering with 0. 2 m Supor filters ( Pall Corporation, Port Washington, NY, USA).	well,43,47,engineered	well,118,122,engineered	FW301,123,128,engineered	"[{""token"": ""well"", ""start_span"": 43, ""end_span"": 47, ""type"": ""engineered""}, {""token"": ""well"", ""start_span"": 118, ""end_span"": 122, ""type"": ""engineered""}, {""token"": ""FW301"", ""start_span"": 123, ""end_span"": 128, ""type"": ""engineered""}]"	train
Materials and methods Sample collection In this study, Qige WWTP, Shaoxing WWTP and Shangyu WWTP were selected for microbial community analysis.	WWTP,60,64,engineered	WWTP,75,79,engineered	WWTP,92,96,engineered	"[{""token"": ""WWTP"", ""start_span"": 60, ""end_span"": 64, ""type"": ""engineered""}, {""token"": ""WWTP"", ""start_span"": 75, ""end_span"": 79, ""type"": ""engineered""}, {""token"": ""WWTP"", ""start_span"": 92, ""end_span"": 96, ""type"": ""engineered""}]"	train
The H2 gas was provided in the reactors R1 and R2 by using a peristaltic pump operating at a flow rate of 1. 7mL / min and was injected through Al2O3 ceramic membranes having pore size of 1. 2m.	reactors,31,39,engineered	R1,40,42,engineered	R2,47,49,engineered	"[{""token"": ""reactors"", ""start_span"": 31, ""end_span"": 39, ""type"": ""engineered""}, {""token"": ""R1"", ""start_span"": 40, ""end_span"": 42, ""type"": ""engineered""}, {""token"": ""R2"", ""start_span"": 47, ""end_span"": 49, ""type"": ""engineered""}]"	train
